PROLIFIC_ID,Trust Tags - Consensus,Valence consensus
55bfa58afdf99b339da508c2,Aff: data-cues,Positive
61650ba8e42101c561bf7335,Aff: data-cues,Positive
5658f4787d69570012dfe2d1,Aff: data-cues,Positive
5bde6c564842880001308324,Aff: data-cues,Positive
5bd4e6f7c4f8e900013ae526,Aff: data-cues,Positive
5ddc07391e42a9000b2622be,Aff: data-cues,Positive
63f796a016e377d12cff50f1,Aff: data-cues,Positive
5fee456f8929f014481adff9,Aff: data-cues,Positive
5c5fc0136467ac0001b80940,Aff: data-cues,Positive
5f6fd1451758e95a989623b2,Aff: data-cues,Negative
6332274d72eff2df47171a78,Aff: data-cues,Neutral
5e059d2bb1fb05fd1f841142,Aff: data-cues,Positive
58074104c314770001876e7b,Aff: data-cues,Positive
5dcf34f64fee9907fc626f0f,Aff: data-cues,Positive
5ea47bda5b1a9807ed89eb76,Aff: data-cues,Positive
5bfb5784a66aa500019dabef,Aff: data-cues,Positive
6143e022ec8dfbce17b7e211,Aff: data-cues,Positive
5e3f51334425131b3e43a2a9,Aff: data-cues,Neutral
5caa183a9ac82a001631374e,Aff: data-cues,Negative
63b48736ce3bb3afbc79ff7c,Aff: data-cues,Positive
61509f0576598bbf74387211,Aff: data-cues,Neutral
5b48f2d0ff7497000125165e,Aff: data-cues,Neutral
62ea66128e0806710fb41dcc,Aff: data-cues,Positive
5e3f4c676d06fc1b240e6021,Aff: data-cues,Negative
5efa98dd74af25000cdbbf43,Aff: data-cues,Positive
62eed9e3e4c704bcef237b74,Aff: data-cues,Positive
6400f14b24ac2b910c9f2d93,Aff: data-cues,Positive
63d9455555931a8fa4d7a3d8,Aff: data-cues,Positive
6282a009d98ec3cafb4d8d48,Aff: data-cues,Positive
5cf5134c8f8ff80019e76721,Aff: data-cues,Negative
5f78ce64cb5f144a98a4fa38,Aff: data-cues,Positive
617390ea6b825a0eb8904f29,Aff: data-cues,Positive
5e60460125834138aae85307,Aff: data-cues,Positive
614ead1e38ca4b390b860c23,Aff: data-cues,Positive
60c433a4f78e97b5ef1ce71b,Aff: data-cues,Positive
62b341383dad27265a7a75cb,Aff: data-cues,Positive
57d435c8ca054400014bac35,Aff: data-cues,Positive
