week_start,Years,SubmissionDate,State,State2,Week_Avg
2020-01-27,2020,29-Jan,MN,Minnesota,0
2020-01-27,2020,29-Jan,MO,Missouri,0
2020-01-27,2020,29-Jan,MS,Mississippi,0
2020-01-27,2020,29-Jan,MT,Montana,0
2020-01-27,2020,29-Jan,NC,North Carolina,0
2020-01-27,2020,29-Jan,ND,North Dakota,0
2020-01-27,2020,29-Jan,NE,Nebraska,0
2020-01-27,2020,29-Jan,NH,New Hampshire,0
2020-01-27,2020,29-Jan,NJ,New Jersey,0
2020-01-27,2020,29-Jan,NM,New Mexico,0
2020-01-27,2020,29-Jan,NV,Nevada,0
2020-01-27,2020,29-Jan,NY,New York,0
2020-01-27,2020,29-Jan,OH,Ohio,0
2020-01-27,2020,29-Jan,OK,Oklahoma,0
2020-01-27,2020,29-Jan,OR,Oregon,0
2020-01-27,2020,29-Jan,PA,Pennsylvania,0
2020-01-27,2020,29-Jan,RI,Rhode Island,0
2020-01-27,2020,29-Jan,SC,South Carolina,0
2020-01-27,2020,29-Jan,SD,South Dakota,0
2020-01-27,2020,29-Jan,State,State2,0
2020-01-27,2020,29-Jan,TN,Tennessee,0
2020-01-27,2020,29-Jan,TX,Texas,0
2020-01-27,2020,29-Jan,UT,Utah,0
2020-01-27,2020,29-Jan,VA,Virginia,0
2020-01-27,2020,29-Jan,VT,Vermont,0
2020-01-27,2020,29-Jan,WA,Washington,0
2020-01-27,2020,29-Jan,WI,Wisconsin,0
2020-01-27,2020,29-Jan,WV,West Virginia,0
2020-01-27,2020,29-Jan,WY,Wyoming,0
2020-01-27,2020,30-Jan,AK,Alaska,0
2020-01-27,2020,30-Jan,AL,Alabama,0
2020-01-27,2020,30-Jan,AR,Arkansas,0
2020-01-27,2020,30-Jan,AZ,Arizona,0
2020-01-27,2020,30-Jan,CA,California,0
2020-01-27,2020,30-Jan,CO,Colorado,0
2020-01-27,2020,30-Jan,CT,Connecticut,0
2020-01-27,2020,30-Jan,DE,Delaware,0
2020-01-27,2020,30-Jan,FL,Florida,0
2020-01-27,2020,30-Jan,GA,Georgia,0
2020-01-27,2020,30-Jan,HI,Hawaii,0
2020-01-27,2020,30-Jan,IA,Iowa,0
2020-01-27,2020,30-Jan,ID,Idaho,0
2020-01-27,2020,30-Jan,IL,Illinois,0
2020-01-27,2020,30-Jan,IN,Indiana,0
2020-01-27,2020,30-Jan,KS,Kansas,0
2020-01-27,2020,30-Jan,KY,Kentucky,0
2020-01-27,2020,30-Jan,LA,Louisiana,0
2020-01-27,2020,30-Jan,MA,Massachusetts,0
2020-01-27,2020,30-Jan,MD,Maryland,0
2020-01-27,2020,30-Jan,ME,Maine,0
2020-01-27,2020,30-Jan,MI,Michigan,0
2020-01-27,2020,30-Jan,MN,Minnesota,0
2020-01-27,2020,30-Jan,MO,Missouri,0
2020-01-27,2020,30-Jan,MS,Mississippi,0
2020-01-27,2020,30-Jan,MT,Montana,0
2020-01-27,2020,30-Jan,NC,North Carolina,0
2020-01-27,2020,30-Jan,ND,North Dakota,0
2020-01-27,2020,30-Jan,NE,Nebraska,0
2020-01-27,2020,30-Jan,NH,New Hampshire,0
2020-01-27,2020,30-Jan,NJ,New Jersey,0
2020-01-27,2020,30-Jan,NM,New Mexico,0
2020-01-27,2020,30-Jan,NV,Nevada,0
2020-01-27,2020,30-Jan,NY,New York,0
2020-01-27,2020,30-Jan,OH,Ohio,0
2020-01-27,2020,30-Jan,OK,Oklahoma,0
2020-01-27,2020,30-Jan,OR,Oregon,0
2020-01-27,2020,30-Jan,PA,Pennsylvania,0
2020-01-27,2020,30-Jan,RI,Rhode Island,0
2020-01-27,2020,30-Jan,SC,South Carolina,0
2020-01-27,2020,30-Jan,SD,South Dakota,0
2020-01-27,2020,30-Jan,State,State2,0
2020-01-27,2020,30-Jan,TN,Tennessee,0
2020-01-27,2020,30-Jan,TX,Texas,0
2020-01-27,2020,30-Jan,UT,Utah,0
2020-01-27,2020,30-Jan,VA,Virginia,0
2020-01-27,2020,30-Jan,VT,Vermont,0
2020-01-27,2020,30-Jan,WA,Washington,0
2020-01-27,2020,30-Jan,WI,Wisconsin,0
2020-01-27,2020,30-Jan,WV,West Virginia,0
2020-01-27,2020,30-Jan,WY,Wyoming,0
2020-01-27,2020,31-Jan,AK,Alaska,0
2020-01-27,2020,31-Jan,AL,Alabama,0
2020-01-27,2020,31-Jan,AR,Arkansas,0
2020-01-27,2020,31-Jan,AZ,Arizona,0
2020-01-27,2020,31-Jan,CA,California,0
2020-01-27,2020,31-Jan,CO,Colorado,0
2020-01-27,2020,31-Jan,CT,Connecticut,0
2020-01-27,2020,31-Jan,DE,Delaware,0
2020-01-27,2020,31-Jan,FL,Florida,0
2020-01-27,2020,31-Jan,GA,Georgia,0
2020-01-27,2020,31-Jan,HI,Hawaii,0
2020-01-27,2020,31-Jan,IA,Iowa,0
2020-01-27,2020,31-Jan,ID,Idaho,0
2020-01-27,2020,31-Jan,IL,Illinois,0.142857143
2020-01-27,2020,31-Jan,IN,Indiana,0
2020-01-27,2020,31-Jan,KS,Kansas,0
2020-01-27,2020,31-Jan,KY,Kentucky,0
2020-01-27,2020,31-Jan,LA,Louisiana,0
2020-01-27,2020,31-Jan,MA,Massachusetts,0
2020-01-27,2020,31-Jan,MD,Maryland,0
2020-01-27,2020,31-Jan,ME,Maine,0
2020-01-27,2020,31-Jan,MI,Michigan,0
2020-01-27,2020,31-Jan,MN,Minnesota,0
2020-01-27,2020,31-Jan,MO,Missouri,0
2020-01-27,2020,31-Jan,MS,Mississippi,0
2020-01-27,2020,31-Jan,MT,Montana,0
2020-01-27,2020,31-Jan,NC,North Carolina,0
2020-01-27,2020,31-Jan,ND,North Dakota,0
2020-01-27,2020,31-Jan,NE,Nebraska,0
2020-01-27,2020,31-Jan,NH,New Hampshire,0
2020-01-27,2020,31-Jan,NJ,New Jersey,0
2020-01-27,2020,31-Jan,NM,New Mexico,0
2020-01-27,2020,31-Jan,NV,Nevada,0
2020-01-27,2020,31-Jan,NY,New York,0
2020-01-27,2020,31-Jan,OH,Ohio,0
