State,State_short,Max_Week_Day,Week,Year,New_Case,New_Death,Share_Vaccination,New_Case_per_100,New_Death_per_100,Index3
Alaska,AK,20/09/2021,38,2021,7712,65,56.8,0.07712,0.00065,26
Connecticut,CT,20/09/2021,38,2021,3390,68,75.7,0.0339,0.00068,26
New Mexico,NM,20/09/2021,38,2021,4227,74,72.2,0.04227,0.00074,26
Montana,MT,20/09/2021,38,2021,6198,74,54.5,0.06198,0.00074,26
Iowa,IA,20/09/2021,38,2021,11342,81,57.9,0.11342,0.00081,26
Utah,UT,20/09/2021,38,2021,9640,84,58.7,0.0964,0.00084,26
Minnesota,MN,20/09/2021,38,2021,15678,86,63.3,0.15678,0.00086,26
Colorado,CO,20/09/2021,38,2021,12868,89,65.3,0.12868,0.00089,26
Mississippi,MS,20/09/2021,38,2021,8881,92,49.9,0.08881,0.00092,26
Wisconsin,WI,20/09/2021,38,2021,21539,94,60.7,0.21539,0.00094,26
Massachusetts,MA,20/09/2021,38,2021,11798,97,77.1,0.11798,0.00097,26
Michigan,MI,20/09/2021,38,2021,23179,98,56.7,0.23179,0.00098,26
Maryland,MD,20/09/2021,38,2021,8629,110,70.3,0.08629,0.0011,26
Kansas,KS,20/09/2021,38,2021,7396,114,59.5,0.07396,0.00114,26
Oregon,OR,20/09/2021,38,2021,11236,114,66.3,0.11236,0.00114,26
Idaho,ID,20/09/2021,38,2021,8535,117,46.7,0.08535,0.00117,26
Arkansas,AR,20/09/2021,38,2021,7916,141,55.5,0.07916,0.00141,26
New Jersey,NJ,20/09/2021,38,2021,14770,141,72.1,0.1477,0.00141,26
West Virginia,WV,20/09/2021,38,2021,11913,153,48,0.11913,0.00153,26
Nevada,NV,20/09/2021,38,2021,6315,169,60.4,0.06315,0.00169,26
New York,NY,20/09/2021,38,2021,23818,172,70.7,0.23818,0.00172,26
Oklahoma,OK,20/09/2021,38,2021,11499,252,56.2,0.11499,0.00252,26
Illinois,IL,20/09/2021,38,2021,21205,261,68.1,0.21205,0.00261,26
Missouri,MO,20/09/2021,38,2021,12572,270,54.6,0.12572,0.0027,26
Washington,WA,20/09/2021,38,2021,19870,281,70.7,0.1987,0.00281,26
Virginia,VA,20/09/2021,38,2021,21966,283,68,0.21966,0.00283,26
Pennsylvania,PA,20/09/2021,38,2021,31928,283,71.9,0.31928,0.00283,26
